index,name,side,default_kind,frame_center_x_um,frame_center_y_um,frame_bbox_um,orientation,user_wrapper_pin_bbox_um
117,PAD_N25,N,analog,13000,21935,12950 21870 13050 22000,R180,11950 19980 11970 20000
118,PAD_N26,N,analog,13500,21935,13450 21870 13550 22000,R180,12410 19980 12430 20000
119,PAD_N27,N,analog,14000,21935,13950 21870 14050 22000,R180,12870 19980 12890 20000
120,PAD_N28,N,analog,14500,21935,14450 21870 14550 22000,R180,13330 19980 13350 20000
121,PAD_N29,N,analog,15000,21935,14950 21870 15050 22000,R180,13790 19980 13810 20000
122,PAD_N30,N,analog,15500,21935,15450 21870 15550 22000,R180,14250 19980 14270 20000
123,PAD_N31,N,analog,16000,21935,15950 21870 16050 22000,R180,14710 19980 14730 20000
124,PAD_N32,N,analog,16500,21935,16450 21870 16550 22000,R180,15170 19980 15190 20000
125,PAD_N33,N,analog,17000,21935,16950 21870 17050 22000,R180,15630 19980 15650 20000
126,PAD_N34,N,analog,17500,21935,17450 21870 17550 22000,R180,16090 19980 16110 20000
127,PAD_N35,N,analog,18000,21935,17950 21870 18050 22000,R180,16550 19980 16570 20000
128,PAD_N36,N,analog,18500,21935,18450 21870 18550 22000,R180,17010 19980 17030 20000
129,PAD_N37,N,analog,19000,21935,18950 21870 19050 22000,R180,17470 19980 17490 20000
130,PAD_N38,N,analog,19500,21935,19450 21870 19550 22000,R180,17930 19980 17950 20000
131,PAD_N39,N,analog,20000,21935,19950 21870 20050 22000,R180,18390 19980 18410 20000
132,PAD_N40,N,analog,20500,21935,20450 21870 20550 22000,R180,18850 19980 18870 20000
133,PAD_N41,N,analog,21000,21935,20950 21870 21050 22000,R180,19310 19980 19330 20000
134,PAD_N42,N,analog,21500,21935,21450 21870 21550 22000,R180,19770 19980 19790 20000
135,PAD_N43,N,analog,22000,21935,21950 21870 22050 22000,R180,20230 19980 20250 20000
136,PAD_N44,N,analog,22500,21935,22450 21870 22550 22000,R180,20690 19980 20710 20000
137,PAD_N45,N,analog,23000,21935,22950 21870 23050 22000,R180,21150 19980 21170 20000
138,PAD_N46,N,analog,23500,21935,23450 21870 23550 22000,R180,21610 19980 21630 20000
139,PAD_N47,N,analog,24000,21935,23950 21870 24050 22000,R180,22070 19980 22090 20000
140,PAD_N48,N,analog,24500,21935,24450 21870 24550 22000,R180,22530 19980 22550 20000
141,PAD_W00,W,analog,65,500,0 450 130 550,R90,0 444.545 20 464.545
142,PAD_W01,W,analog,65,1000,0 950 130 1050,R90,0 899.091 20 919.091
143,PAD_W02,W,analog,65,1500,0 1450 130 1550,R90,0 1353.636 20 1373.636
144,PAD_W03,W,analog,65,2000,0 1950 130 2050,R90,0 1808.182 20 1828.182
145,PAD_W04,W,analog,65,2500,0 2450 130 2550,R90,0 2262.727 20 2282.727
146,PAD_W05,W,analog,65,3000,0 2950 130 3050,R90,0 2717.273 20 2737.273
147,PAD_W06,W,analog,65,3500,0 3450 130 3550,R90,0 3171.818 20 3191.818
148,PAD_W07,W,analog,65,4000,0 3950 130 4050,R90,0 3626.364 20 3646.364
149,PAD_W08,W,analog,65,4500,0 4450 130 4550,R90,0 4080.909 20 4100.909
150,PAD_W09,W,analog,65,5000,0 4950 130 5050,R90,0 4535.455 20 4555.455
151,PAD_W10,W,analog,65,5500,0 5450 130 5550,R90,0 4990 20 5010
152,PAD_W11,W,analog,65,6000,0 5950 130 6050,R90,0 5444.545 20 5464.545
153,PAD_W12,W,analog,65,6500,0 6450 130 6550,R90,0 5899.091 20 5919.091
154,PAD_W13,W,analog,65,7000,0 6950 130 7050,R90,0 6353.636 20 6373.636
155,PAD_W14,W,analog,65,7500,0 7450 130 7550,R90,0 6808.182 20 6828.182
